% # columns="iteration, evaluation, sigma, beta, void,  sigvec==sigma_vec.scaling factors from diagonal decoding", seed=447883, Mon Sep  8 17:39:19 2025, <python>{}</python>
1 500 1.008027712169264 1 0 0.5524363458282484 0.5746085553155522 0.332771908661902 0.3238420818393153 0.33332500010416577 0.29856160953370375 0.30385678967673013 0.3264575267787432
2 1000 0.9732944191788643 1 0 0.5524363458282484 0.5661911898460353 0.332771908661902 0.3238420818393153 0.33332500010416577 0.2680333228598284 0.29615515607229864 0.3264575267787432
3 1500 0.9357198444256662 1 0 0.5524363458282484 0.5612333345443625 0.332771908661902 0.3238420818393153 0.33332500010416577 0.2680333228598284 0.29615515607229864 0.3264575267787432
4 2000 0.9115603992347978 1 0 0.5524363458282484 0.5460351229366556 0.332771908661902 0.3238420818393153 0.33332500010416577 0.2680333228598284 0.29615515607229864 0.3264575267787432
5 2500 0.9206236378467769 1 0 0.5524363458282484 0.5460351229366556 0.332771908661902 0.3238420818393153 0.33332500010416577 0.2680333228598284 0.29615515607229864 0.3264575267787432
6 3000 0.9591657662578649 1 0 0.5524363458282484 0.5460351229366556 0.332771908661902 0.3238420818393153 0.33332500010416577 0.2680333228598284 0.28305536080980487 0.3264575267787432
7 3500 0.9517149590188427 1 0 0.5524363458282484 0.5460351229366556 0.332771908661902 0.3238420818393153 0.33332500010416577 0.2680333228598284 0.28305536080980487 0.3264575267787432
8 4000 0.9832848615042226 1 0 0.5524363458282484 0.5460351229366556 0.332771908661902 0.3238420818393153 0.33332500010416577 0.2680333228598284 0.28305536080980487 0.3264575267787432
9 4500 0.9593758485612027 1 0 0.5524363458282484 0.5460351229366556 0.332771908661902 0.3238420818393153 0.33332500010416577 0.2680333228598284 0.28305536080980487 0.3264575267787432
10 5000 0.9744879580278373 1 0 0.5524363458282484 0.5460351229366556 0.332771908661902 0.3238420818393153 0.33332500010416577 0.2680333228598284 0.28305536080980487 0.3264575267787432
10 5000 0.9744879580278373 1 0 0.5524363458282484 0.5460351229366556 0.332771908661902 0.3238420818393153 0.33332500010416577 0.2680333228598284 0.28305536080980487 0.3264575267787432
