% # columns="iteration, evaluation, min max(neg(.)) min(pos(.)) max correlation, correlation matrix principal axes lengths  (sorted square roots of eigenvalues of correlation matrix)", seed=447883, Mon Sep  8 17:39:19 2025
1 500 -0.13447881218145608 -0.06873589803135367 0.025278237094584627 0.123163187724127 0.8400148631677823 0.9063547115156714 0.9281647222872849 0.9807608851396534 1.0301206888563992 1.0343557721259444 1.0913907812771761 1.1521024983285824
2 1000 -0.13447881218145608 -0.06873589803135367 0.025278237094584627 0.123163187724127 0.8400148631677823 0.9063547115156714 0.9281647222872849 0.9807608851396534 1.0301206888563992 1.0343557721259444 1.0913907812771761 1.1521024983285824
3 1500 -0.13447881218145608 -0.06873589803135367 0.025278237094584627 0.123163187724127 0.8400148631677823 0.9063547115156714 0.9281647222872849 0.9807608851396534 1.0301206888563992 1.0343557721259444 1.0913907812771761 1.1521024983285824
4 2000 -0.13447881218145608 -0.06873589803135367 0.025278237094584627 0.123163187724127 0.8400148631677823 0.9063547115156714 0.9281647222872849 0.9807608851396534 1.0301206888563992 1.0343557721259444 1.0913907812771761 1.1521024983285824
5 2500 -0.13447881218145608 -0.06873589803135367 0.025278237094584627 0.123163187724127 0.8400148631677823 0.9063547115156714 0.9281647222872849 0.9807608851396534 1.0301206888563992 1.0343557721259444 1.0913907812771761 1.1521024983285824
6 3000 -0.13447881218145608 -0.06873589803135367 0.025278237094584627 0.123163187724127 0.8400148631677823 0.9063547115156714 0.9281647222872849 0.9807608851396534 1.0301206888563992 1.0343557721259444 1.0913907812771761 1.1521024983285824
7 3500 -0.13447881218145608 -0.06873589803135367 0.025278237094584627 0.123163187724127 0.8400148631677823 0.9063547115156714 0.9281647222872849 0.9807608851396534 1.0301206888563992 1.0343557721259444 1.0913907812771761 1.1521024983285824
8 4000 -0.13447881218145608 -0.06873589803135367 0.025278237094584627 0.123163187724127 0.8400148631677823 0.9063547115156714 0.9281647222872849 0.9807608851396534 1.0301206888563992 1.0343557721259444 1.0913907812771761 1.1521024983285824
9 4500 -0.2555906593713351 -0.09805268072488924 0.17640761199493954 0.4484485878415649 0.6066214955043634 0.6911318810235774 0.8096153953756597 0.9149841012662844 1.024045062735739 1.066397773278678 1.2826913727028233 1.3529613561562246
10 5000 -0.2555906593713351 -0.09805268072488924 0.17640761199493954 0.4484485878415649 0.6066214955043634 0.6911318810235774 0.8096153953756597 0.9149841012662844 1.024045062735739 1.066397773278678 1.2826913727028233 1.3529613561562246
10 5000 -0.2555906593713351 -0.09805268072488924 0.17640761199493954 0.4484485878415649 0.6066214955043634 0.6911318810235774 0.8096153953756597 0.9149841012662844 1.024045062735739 1.066397773278678 1.2826913727028233 1.3529613561562246
